genres,GenresGroup,length
auteur-compositeur-interprete quebecois,quebec,39
american contemporary classical,classical,31
melbourne bounce international,other,30
british contemporary classical,classical,30
melbourne bounce international,other,30
canadian contemporary country,country,29
australian singer-songwriter,australian,28
greek contemporary classical,classical,28
progressive uplifting trance,progressive,28
progressive uplifting trance,progressive,28
canadian indigenous hip hop,hip hop,27
canadian old school hip hop,hip hop,27
nashville singer-songwriter,other,27
norwegian singer-songwriter,other,27
australian alternative rock,rock,27
african-american classical,classical,26
canadian singer-songwriter,canadian,26
christian alternative rock,rock,26
classic australian country,country,26
australian alternative pop,pop,26
australian childrens music,australian,26
christian alternative rock,rock,26
japanese singer-songwriter,other,26
canadian contemporary r&b,r&b,25
japanese alternative rock,rock,25
korean old school hip hop,hip hop,25
preschool childrens music,children,25
progressive electro house,house,25
south african alternative,alternative,25
swedish singer-songwriter,other,25
american modern classical,classical,25
british singer-songwriter,other,25
canadian contemporary r&b,r&b,25
classic progressive house,house,25
progressive electro house,house,25
australian reggae fusion,reggae,24
progressive trance house,house,24
taiwan singer-songwriter,other,24
australian reggae fusion,reggae,24
british alternative rock,rock,24
deep underground hip hop,hip hop,24
italian progressive rock,rock,24
progressive trance house,house,24
intelligent dance music,dance,23
irish singer-songwriter,other,23
modern alternative rock,rock,23
neo-traditional country,country,23
sertanejo universitario,other,23
contemporary vocal jazz,jazz,23
cosmic uplifting trance,other,23
danish alternative rock,rock,23
deep progressive trance,progressive,23
irish singer-songwriter,other,23
modern alternative rock,rock,23
australian garage punk,punk,22
bc underground hip hop,hip hop,22
contemporary classical,classical,22
depressive black metal,metal,22
early modern classical,classical,22
gothic symphonic metal,metal,22
instrumental post-rock,rock,22
minimal melodic techno,techno,22
north carolina hip hop,hip hop,22
old school hard trance,other,22
south carolina hip hop,hip hop,22
swedish tropical house,house,22
uk alternative hip hop,hip hop,22
alternative roots rock,rock,22
asian american hip hop,hip hop,22
australian black metal,metal,22
bc underground hip hop,hip hop,22
christmas instrumental,instrumental,22
gothic symphonic metal,metal,22
minimal melodic techno,techno,22
north carolina hip hop,hip hop,22
uk alternative hip hop,hip hop,22
australian electropop,pop,21
canadian experimental,canadian,21
charlottesville indie,indie,21
compositional ambient,ambient,21
contemporary post-bop,contemporary,21
indie game soundtrack,indie,21
lithuanian electronic,eletronic,21
nederlandse hardstyle,other,21
neoclassical darkwave,classical,21
neo-singer-songwriter,other,21
new england americana,american,21
progressive bluegrass,progressive,21
progressive deathcore,progressive,21
progressive psytrance,progressive,21
south african hip hop,hip hop,21
symphonic power metal,metal,21
underground power pop,pop,21
virgin islands reggae,reggae,21
alternative americana,alternative,21
australian electropop,pop,21
australian indie folk,indie,21
belarusian electronic,eletronic,21
channel islands indie,indie,21
classic canadian rock,rock,21
compositional ambient,ambient,21
deep uplifting trance,other,21
dusseldorf electronic,eletronic,21
indie game soundtrack,indie,21
lithuanian electronic,eletronic,21
neo-singer-songwriter,other,21
progressive psytrance,progressive,21
calming instrumental,instrumental,20
cambridgeshire indie,indie,20
contemporary country,country,20
experimental ambient,ambient,20
experimental hip hop,hip hop,20
frankfurt electronic,eletronic,20
japanese jazz fusion,jazz,20
japanese jazztronica,jazz,20
japanese power metal,metal,20
modern southern rock,rock,20
north carolina roots,other,20
northern irish indie,indie,20
reggaeton colombiano,reggae,20
south carolina indie,indie,20
southern china indie,indie,20
ukrainian electronic,eletronic,20
alternative pop rock,pop,20
bulgarian electronic,eletronic,20
calming instrumental,instrumental,20
classic finnish rock,rock,20
contemporary country,country,20
deep deep tech house,house,20
japanese heavy metal,metal,20
modern southern rock,rock,20
swedish melodic rock,rock,20
ukrainian electronic,eletronic,20
canadian electronic,eletronic,19
canadian electropop,pop,19
canadian indie folk,indie,19
deep happy hardcore,other,19
deep minimal techno,techno,19
deep tropical house,house,19
finnish power metal,metal,19
french indietronica,indie,19
german thrash metal,metal,19
indian instrumental,instrumental,19
industrial hardcore,other,19
italian alternative,alternative,19
japanese electropop,pop,19
japanese indie rock,rock,19
japanese soundtrack,sound track,19
kansas city hip hop,hip hop,19
melodic death metal,metal,19
mississippi hip hop,hip hop,19
modern country rock,rock,19
nashville americana,american,19
neo classical metal,metal,19
neue deutsche harte,other,19
newcastle nsw indie,indie,19
norwegian punk rock,rock,19
russian romanticism,other,19
san marcos tx indie,indie,19
swedish death metal,metal,19
swedish power metal,metal,19
uk contemporary r&b,r&b,19
ukrainian classical,classical,19
underground hip hop,hip hop,19
west virginia indie,indie,19
alternative country,country,19
alternative hip hop,hip hop,19
canadian electronic,eletronic,19
canadian indigenous,canadian,19
canadian soundtrack,sound track,19
classic belgian pop,pop,19
classic country pop,pop,19
classic swedish pop,pop,19
croatian electronic,eletronic,19
deep minimal techno,techno,19
deep tropical house,house,19
finnish power metal,metal,19
garage rock revival,rock,19
hard minimal techno,techno,19
japanese electropop,pop,19
korean instrumental,instrumental,19
melodic death metal,metal,19
south african house,house,19
underground hip hop,hip hop,19
belgian indie rock,rock,18
brill building pop,pop,18
british indie rock,rock,18
british soundtrack,sound track,18
chinese audiophile,other,18
classic girl group,classic,18
classic soundtrack,classic,18
deep new americana,american,18
early romantic era,other,18
east coast hip hop,hip hop,18
electro-industrial,eletronic,18
euphoric hardstyle,other,18
french romanticism,french,18
german black metal,metal,18
german electronica,eletronic,18
german heavy metal,metal,18
german power metal,metal,18
german romanticism,german,18
german stoner rock,rock,18
gothic alternative,alternative,18
hamburg electronic,eletronic,18
harlem renaissance,other,18
